date,avg_temp
1/1/1970,-7.058
2/1/1970,-2.163
3/1/1970,1.237
4/1/1970,8.67
5/1/1970,15.856
6/1/1970,19.351
7/1/1970,22.783
8/1/1970,22.381
9/1/1970,18.664
10/1/1970,12.277
11/1/1970,6.502
12/1/1970,-1.297
1/1/1971,-5.494
2/1/1971,-1.633
3/1/1971,2.072
4/1/1971,7.83
5/1/1971,13.54
6/1/1971,20.662
7/1/1971,22.019
8/1/1971,21.194
9/1/1971,19.228
10/1/1971,14.26
11/1/1971,4.702
12/1/1971,1.794
1/1/1972,-1.365
2/1/1972,-3.369
3/1/1972,1.878
4/1/1972,7.159
5/1/1972,15.495
6/1/1972,18.195
7/1/1972,22.986
8/1/1972,21.245
9/1/1972,18.178
10/1/1972,8.725
11/1/1972,3.863
12/1/1972,0.887
1/1/1973,-0.814
2/1/1973,-2.392
3/1/1973,6.242
4/1/1973,9.853
5/1/1973,13.349
6/1/1973,21.462
7/1/1973,22.991
8/1/1973,23.001
9/1/1973,18.001
10/1/1973,12.403
11/1/1973,6.446
12/1/1973,0.977
1/1/1974,-1.332
2/1/1974,-2.545
3/1/1974,3.426
4/1/1974,10.602
5/1/1974,14.467
6/1/1974,18.91
7/1/1974,22.439
8/1/1974,21.826
9/1/1974,16.873
10/1/1974,9.095
11/1/1974,6.159
12/1/1974,1.026
1/1/1975,-0.3
2/1/1975,-0.46
3/1/1975,2.259
4/1/1975,6.582
5/1/1975,17.211
6/1/1975,20.172
7/1/1975,22.781
8/1/1975,21.763
9/1/1975,15.645
10/1/1975,12.991
11/1/1975,8.525
12/1/1975,-0.454
1/1/1976,-5.342
2/1/1976,1.395
3/1/1976,4.859
4/1/1976,10.814
5/1/1976,14.376
6/1/1976,21.404
7/1/1976,21.363
8/1/1976,21.179
9/1/1976,16.599
10/1/1976,9.067
11/1/1976,2.623
12/1/1976,-3.933
1/1/1977,-8.046
2/1/1977,-1.756
3/1/1977,5.867
4/1/1977,10.156
5/1/1977,16.549
6/1/1977,18.995
7/1/1977,22.967
8/1/1977,21.687
9/1/1977,17.987
10/1/1977,10.313
11/1/1977,6.574
12/1/1977,-1.792
1/1/1978,-4.666
2/1/1978,-6.216
3/1/1978,1.27
4/1/1978,8.471
5/1/1978,14.316
6/1/1978,19.653
7/1/1978,21.578
8/1/1978,22.579
9/1/1978,16.487
10/1/1978,10.517
11/1/1978,5.981
12/1/1978,0.085
1/1/1979,-2.603
2/1/1979,-7.141
3/1/1979,5.233
4/1/1979,8.913
5/1/1979,15.909
6/1/1979,18.832
7/1/1979,22.35
8/1/1979,21.741
9/1/1979,17.493
10/1/1979,10.71
11/1/1979,7.792
12/1/1979,1.065
1/1/1980,-2.047
2/1/1980,-3.713
3/1/1980,2.034
4/1/1980,9.922
5/1/1980,16.464
6/1/1980,18.772
7/1/1980,23.48
8/1/1980,23.62
9/1/1980,19.133
10/1/1980,10.107
11/1/1980,3.647
12/1/1980,-3.12
1/1/1981,-6.772
2/1/1981,1.383
3/1/1981,2.667
4/1/1981,10.675
5/1/1981,15.632
6/1/1981,20.457
7/1/1981,23.299
8/1/1981,21.44
9/1/1981,17.167
10/1/1981,9.195
11/1/1981,5.64
12/1/1981,-1.395
1/1/1982,-7.286
2/1/1982,-1.307
3/1/1982,2.357
4/1/1982,7.846
5/1/1982,16.135
6/1/1982,18.228
7/1/1982,22.631
8/1/1982,20.074
9/1/1982,17.411
10/1/1982,11.281
11/1/1982,7.141
12/1/1982,2.789
1/1/1983,-1.938
2/1/1983,-0.692
3/1/1983,4.618
4/1/1983,8.607
5/1/1983,14.076
6/1/1983,20.508
7/1/1983,23.597
8/1/1983,23.025
9/1/1983,18.71
10/1/1983,11.333
11/1/1983,6.084
12/1/1983,-1.818
1/1/1984,-4.966
2/1/1984,1.834
3/1/1984,0.085
4/1/1984,8.717
5/1/1984,14.281
6/1/1984,21.055
7/1/1984,21.865
8/1/1984,22.575
9/1/1984,16.15
10/1/1984,13.492
11/1/1984,5.325
12/1/1984,2.675
1/1/1985,-5.061
2/1/1985,-1.076
3/1/1985,4.668
4/1/1985,10.594
5/1/1985,16.56
6/1/1985,18.286
7/1/1985,22.275
8/1/1985,21.541
9/1/1985,18.599
10/1/1985,11.882
11/1/1985,7.066
12/1/1985,-2.196
1/1/1986,-2.227
2/1/1986,-2.884
3/1/1986,4.186
4/1/1986,9.854
